transaction_id,date,product_name,category,unit_price,quantity,total_revenue,store,stock_level,day_of_week,month,is_weekend,product_trend
TXN000001,2024-07-04,Wireless Earbuds Pro,Electronics,144.88,1,144.88,Downtown Flagship,499,Thursday,2024-07,False,hot
TXN000002,2024-07-04,Wireless Earbuds Pro,Electronics,154.84,2,309.69,Airport Express,497,Thursday,2024-07,False,hot
TXN000003,2024-07-04,Wireless Earbuds Pro,Electronics,141.99,1,141.99,Downtown Flagship,496,Thursday,2024-07,False,hot
TXN000004,2024-07-04,Wireless Earbuds Pro,Electronics,141.95,1,141.95,Downtown Flagship,495,Thursday,2024-07,False,hot
TXN000005,2024-07-04,Smart Watch Series X,Electronics,300.34,2,600.69,Downtown Flagship,498,Thursday,2024-07,False,growing
TXN000006,2024-07-04,4K Webcam,Electronics,84.61,2,169.22,Suburban Plaza,298,Thursday,2024-07,False,stable
TXN000007,2024-07-04,4K Webcam,Electronics,87.58,2,175.16,Airport Express,296,Thursday,2024-07,False,stable
TXN000008,2024-07-04,4K Webcam,Electronics,87.55,4,350.18,Downtown Flagship,292,Thursday,2024-07,False,stable
TXN000009,2024-07-04,Portable Charger 20K,Electronics,45.47,2,90.93,Downtown Flagship,498,Thursday,2024-07,False,stable
TXN000010,2024-07-04,Portable Charger 20K,Electronics,45.16,2,90.33,Airport Express,496,Thursday,2024-07,False,stable
TXN000011,2024-07-04,Portable Charger 20K,Electronics,35.23,1,35.23,Outlet Store,495,Thursday,2024-07,False,stable
TXN000012,2024-07-04,Bluetooth Speaker Mini,Electronics,79.61,3,238.83,Suburban Plaza,297,Thursday,2024-07,False,stable
TXN000013,2024-07-04,USB-C Hub Pro,Electronics,63.23,1,63.23,Suburban Plaza,299,Thursday,2024-07,False,growing
TXN000014,2024-07-04,USB-C Hub Pro,Electronics,63.26,1,63.26,Downtown Flagship,298,Thursday,2024-07,False,growing
TXN000015,2024-07-04,Noise Canceling Headphones,Electronics,252.38,1,252.38,Downtown Flagship,499,Thursday,2024-07,False,hot
TXN000016,2024-07-04,Noise Canceling Headphones,Electronics,241.77,1,241.77,Mall Central,498,Thursday,2024-07,False,hot
TXN000017,2024-07-04,Wireless Mouse Ergonomic,Electronics,43.53,2,87.05,Outlet Store,298,Thursday,2024-07,False,stable
TXN000018,2024-07-04,Wireless Mouse Ergonomic,Electronics,53.15,2,106.3,Downtown Flagship,296,Thursday,2024-07,False,stable
TXN000019,2024-07-04,LED Desk Lamp Smart,Electronics,76.05,5,380.25,Mall Central,295,Thursday,2024-07,False,growing
TXN000020,2024-07-04,LED Desk Lamp Smart,Electronics,77.57,2,155.14,Suburban Plaza,293,Thursday,2024-07,False,growing
TXN000021,2024-07-04,Premium Cotton T-Shirt,Clothing,34.19,1,34.19,Downtown Flagship,499,Thursday,2024-07,False,stable
TXN000022,2024-07-04,Premium Cotton T-Shirt,Clothing,36.32,3,108.95,Downtown Flagship,496,Thursday,2024-07,False,stable
TXN000023,2024-07-04,Slim Fit Jeans,Clothing,78.11,1,78.11,Suburban Plaza,499,Thursday,2024-07,False,stable
TXN000024,2024-07-04,Slim Fit Jeans,Clothing,73.1,1,73.1,Mall Central,498,Thursday,2024-07,False,stable
TXN000025,2024-07-04,Slim Fit Jeans,Clothing,75.63,1,75.63,Suburban Plaza,497,Thursday,2024-07,False,stable
TXN000026,2024-07-04,Slim Fit Jeans,Clothing,54.97,1,54.97,Outlet Store,496,Thursday,2024-07,False,stable
TXN000027,2024-07-04,Winter Jacket Insulated,Clothing,134.88,1,134.88,Outlet Store,299,Thursday,2024-07,False,seasonal
TXN000028,2024-07-04,Winter Jacket Insulated,Clothing,191.41,1,191.41,Downtown Flagship,298,Thursday,2024-07,False,seasonal
TXN000029,2024-07-04,Running Sneakers Pro,Clothing,123.37,1,123.37,Airport Express,499,Thursday,2024-07,False,growing
TXN000030,2024-07-04,Casual Hoodie,Clothing,54.97,1,54.97,Outlet Store,499,Thursday,2024-07,False,stable
TXN000031,2024-07-04,Casual Hoodie,Clothing,66.43,1,66.43,Airport Express,498,Thursday,2024-07,False,stable
TXN000032,2024-07-04,Casual Hoodie,Clothing,63.48,1,63.48,Suburban Plaza,497,Thursday,2024-07,False,stable
TXN000033,2024-07-04,Formal Dress Shirt,Clothing,54.64,1,54.64,Suburban Plaza,299,Thursday,2024-07,False,declining
TXN000034,2024-07-04,Formal Dress Shirt,Clothing,57.07,4,228.27,Mall Central,295,Thursday,2024-07,False,declining
TXN000035,2024-07-04,Athletic Shorts,Clothing,41.65,1,41.65,Mall Central,299,Thursday,2024-07,False,stable
TXN000036,2024-07-04,Athletic Shorts,Clothing,40.56,1,40.56,Airport Express,298,Thursday,2024-07,False,stable
TXN000037,2024-07-04,Athletic Shorts,Clothing,41.05,1,41.05,Suburban Plaza,297,Thursday,2024-07,False,stable
TXN000038,2024-07-04,Athletic Shorts,Clothing,40.12,2,80.24,Mall Central,295,Thursday,2024-07,False,stable
TXN000039,2024-07-04,Athletic Shorts,Clothing,38.08,1,38.08,Downtown Flagship,294,Thursday,2024-07,False,stable
